.5	45	66.4
1	41.6	64.6
1.5	40.2	64.7
2	40.8	65.1
2.5	43.5	62.7
3	46.1	60.4
3.5	50.1	57.6
4	54.5	53.8
4.5	57.5	48.5
5	62.9	44.5
6	65.5	36.2
7	67	34.5
8	69.9	29.9
9	72.4	22.1
10	75.8	16.5
11	78.7	9.8
12	80.7	9.1
